code,latitude,longitude,matched_grid,number
DH03368494,23.542,120.291,AASZ,5
DH03368495,23.54,120.287,AASZ,6
DH03368496,23.539,120.291,AASZ,7
DH03368497,23.538,120.289,AASZ,8
DH03368498,23.537,120.296,AASZ,9
DH03368499,23.537,120.294,AASZ,10
DH03368500,23.536,120.293,AASZ,11
DH03368501,23.533,120.286,AASZ,12
DH03368502,23.535,120.291,AASZ,13
DH03368503,23.532,120.292,AASZ,14
DH03368504,23.534,120.293,AASZ,15
DH03368505,23.546,120.396,AATE,1
DH03368506,23.545,120.373,AATD,1
DH03368507,23.545,120.376,AATD,2
DH03368508,23.542,120.379,AATE,2
DH03368509,23.543,120.373,AATD,3
DH03368510,23.543,120.375,AATD,4
DH03368511,23.541,120.38,AATE,3
DH03368512,23.539,120.387,AATE,4
DH03368513,23.54,120.374,AATD,5
DH03368514,23.538,120.376,AATD,6
DH03368515,23.539,120.377,AATD,7
DH03368516,23.536,120.385,AATE,5
DH03368517,23.536,120.373,AATD,8
DH03368518,23.535,120.377,AATD,9
DH03368519,23.535,120.374,AATD,10
DH03368520,23.535,120.384,AATE,6
DH03368521,23.524,120.378,AARD,1
DH03368522,23.534,120.381,AATE,7
DH03368523,23.536,120.452,AATH,1
DH03368524,23.544,120.45,AATH,2
DH03368525,23.534,120.468,AATI,1
DH03368526,23.535,121.375,ALHO,1
DH03368527,23.467,120.217,AAKZ,1
DH03368528,23.462,120.212,AAKY,1
DH03368529,23.458,120.216,AAKZ,2
DH03368530,23.457,120.209,AAKY,2
DH03368531,23.456,120.208,AAKY,3
DH03368532,23.454,120.214,AAJI,1
DH03368533,23.456,120.213,AAKY,4
DH03368534,23.468,120.298,AALD,1
DH03368535,23.468,120.288,AALC,1
DH03368536,23.462,120.287,AALC,2
DH03368537,23.466,120.293,AALC,3
DH03368538,23.456,120.302,AALD,2
DH03368539,23.455,120.282,AALC,4
DH03368540,23.455,120.288,AALC,5
DH03368541,23.456,120.293,AALC,6
DH03368542,23.456,120.29,AALC,7
DH03368543,23.456,120.285,AALC,8
DH03368544,23.451,120.294,AAJM,1
DH03368545,23.472,120.373,AALG,1
DH03368546,23.463,120.382,AALH,1
DH03368547,23.463,120.381,AALH,2
DH03368548,23.456,120.37,AALG,2
DH03368549,23.454,120.381,AALH,3
DH03368550,23.46,120.383,AALH,4
DH03368551,23.457,120.385,AALH,5
DH03368552,23.459,120.38,AALH,6
DH03368553,23.457,120.383,AALH,7
DH03368554,23.471,120.468,AALL,1
DH03368555,23.464,120.462,AALL,2
DH03368556,23.462,120.454,AALK,1
DH03368557,23.462,120.459,AALL,3
DH03368558,23.456,120.459,AALL,4
DH03368559,23.456,120.463,AALL,5
DH03368560,23.456,120.464,AALL,6
DH03368561,23.451,121.384,ALEM,1
DH03368562,23.386,120.208,AAFH,1
DH03368563,23.385,120.214,AAFH,2
DH03368564,23.384,120.204,AAFH,3
DH03368565,23.384,120.213,AAFH,4
DH03368566,23.383,120.21,AAFH,5
DH03368567,23.382,120.206,AAFH,6
DH03368568,23.382,120.214,AAFH,7
DH03368569,23.382,120.213,AAFH,8
DH03368570,23.38,120.205,AAFH,9
DH03368571,23.381,120.212,AAFH,10
DH03368572,23.376,120.21,AAEF,1
DH03368573,23.379,120.208,AAEF,2
DH03368574,23.38,120.215,AAFI,1
DH03368575,23.377,120.215,AAEG,1
DH03368576,23.375,120.215,AAEG,2
DH03368577,23.372,120.208,AAEF,3
DH03368578,23.368,120.293,AAEJ,1
DH03368579,23.386,120.295,AAFL,1
DH03368580,23.385,120.287,AAFL,2
DH03368581,23.383,120.298,AAFM,1
DH03368582,23.381,120.286,AAFL,3
DH03368583,23.382,120.293,AAFL,4
DH03368584,23.379,120.29,AAEJ,2
DH03368585,23.378,120.287,AAEJ,3
DH03368586,23.378,120.293,AAEJ,4
DH03368587,23.378,120.29,AAEJ,5
DH03368588,23.377,120.284,AAEJ,6
DH03368589,23.377,120.29,AAEJ,7
DH03368590,23.372,120.285,AAEJ,8
DH03368591,23.387,120.38,AJMU,1
DH03368592,23.384,120.389,AJMU,2
DH03368593,23.38,120.385,AJMU,3
DH03368594,23.383,120.377,AJMU,4
DH03368595,23.381,120.375,AJMT,1
DH03368596,23.376,120.372,AJMF,1
DH03368597,23.373,120.392,AJMG,1
DH03368598,23.378,120.384,AJMG,2
DH03368599,23.375,120.376,AJMF,2
DH03368600,23.384,120.462,AAFP,1
DH03368601,23.38,120.451,AJMX,1
DH03368602,23.379,120.46,AJMK,1
DH03368603,23.378,120.459,AJMK,2
DH03368604,23.376,120.453,AJMJ,1
DH03368605,23.371,120.449,AJMJ,2
DH03368606,23.347,121.459,AKZM,1
DH03368607,23.298,120.222,AABG,1
DH03368608,23.294,120.201,AABF,1
DH03368609,23.29,120.215,AABG,2
DH03368610,23.29,120.214,AABF,2
DH03368611,23.289,120.208,AABF,3
DH03368612,23.29,120.212,AABF,4
DH03368613,23.289,120.212,AABF,5
DH03368614,23.283,120.206,AJGP,1
DH03368615,23.286,120.21,AJGP,2
DH03368616,23.302,120.195,AABF,6
DH03368617,23.3,120.202,AABF,7
DH03368618,23.295,120.211,AABF,8
DH03368619,23.293,120.209,AABF,9
DH03368620,23.292,120.212,AABF,10
DH03368621,23.292,120.212,AABF,11
DH03368622,23.301,120.297,AJIB,1
DH03368623,23.283,120.278,AJGT,1
DH03368624,23.295,120.299,AJIB,2
DH03368625,23.293,120.302,AJIB,3
DH03368626,23.286,120.28,AJGT,2
DH03368627,23.29,120.296,AJIB,4
DH03368628,23.292,120.292,AJIA,1
DH03368629,23.288,120.288,AJIA,2
DH03368630,23.292,120.287,AJIA,3
DH03368631,23.292,120.288,AJIA,4
DH03368632,23.28,120.292,AJGT,3
DH03368633,23.297,120.373,AJIE,1
DH03368634,23.295,120.381,AJIF,1
DH03368635,23.293,120.382,AJIF,2
DH03368636,23.284,120.371,AJGX,1
DH03368637,23.289,120.377,AJIF,3
DH03368638,23.277,120.384,AJGY,1
DH03368639,23.282,120.381,AJGY,2
DH03368640,23.288,121.306,AKWW,1
DH03368641,23.29,121.3,AKWW,2
DH03368642,23.281,121.284,AKWC,1
DH03368643,23.282,121.291,AKWW,3
DH03368644,23.285,121.289,AKWW,4
DH03368645,23.203,120.124,AJAS,1
DH03368646,23.216,120.123,AJCI,1
DH03368647,23.208,120.121,AJAS,2
DH03368648,23.218,120.207,AJCM,1
DH03368649,23.215,120.209,AJCM,2
DH03368650,23.213,120.214,AJCM,3
DH03368651,23.207,120.215,AJAX,1
DH03368652,23.207,120.209,AJAW,1
DH03368653,23.209,120.206,AJAW,2
DH03368654,23.219,120.302,AJCR,1
DH03368655,23.215,120.287,AJCQ,1
DH03368656,23.217,120.288,AJCQ,2
DH03368657,23.213,120.289,AJCQ,3
DH03368658,23.208,120.289,AJBA,1
DH03368659,23.207,120.291,AJBA,2
DH03368660,23.204,120.293,AJBA,3
DH03368661,23.217,121.283,AKTM,1
DH03368662,23.135,120.208,AIUK,1
DH03368663,23.121,120.204,AIUK,2
